"operator","route","survey_name","survey_year","weekpart","first_after","first_before","intercept","second_after","second_before","third_after","third_before","survey_boardings"
"BART","MacArthur Fremont","BART",2015,"WEEKDAY",0,0,138.2565249765,0,0,0,0,144.806373877
"BART","MacArthur Fruitvale","BART",2015,"WEEKDAY",0,0,180.2946437655,0,0,0,0,203.609927946
"BART","MacArthur Glen Park","BART",2015,"WEEKDAY",0,0,71.427789106,0,0,0,0,77.933937387
"BART","MacArthur Hayward","BART",2015,"WEEKDAY",0,0,129.101619684,0,0,0,0,138.513484607
"BART","MacArthur Lafayette","BART",2015,"WEEKDAY",0,0,52.173878686,0,0,0,0,60.495642053
"BART","MacArthur Lake Merritt","BART",2015,"WEEKDAY",0,0,76.72523651,0,0,0,0,98.099151402
"BART","MacArthur Millbrae","BART",2015,"WEEKDAY",0,0,53.5403679295,0,0,0,0,61.292741353
"BART","MacArthur Montgomery St.","BART",2015,"WEEKDAY",0,0,1173.217461254,0,0,0,0,1263.248573365
"BART","MacArthur North Berkeley","BART",2015,"WEEKDAY",0,0,105.958270883,0,0,0,0,105.958270883
"BART","MacArthur North Concord/Martinez","BART",2015,"WEEKDAY",0,0,40.32833040125,0,0,0,0,49.72780932
"BART","MacArthur Oakland International Airport","BART",2015,"WEEKDAY",0,0,39.169739566,0,0,0,0,39.169739566
"BART","MacArthur Orinda","BART",2015,"WEEKDAY",0,0,48.581105054,0,0,0,0,48.581105054
"BART","MacArthur Pittsburg/Bay Point","BART",2015,"WEEKDAY",0,0,218.3455321275,0,0,0,0,256.693944867
"BART","MacArthur Pleasant Hill/Contra Costa Centre","BART",2015,"WEEKDAY",0,0,130.083809864,0,0,0,0,144.009274578
"BART","MacArthur Powell St.","BART",2015,"WEEKDAY",0,0,772.211271485,0,0,0,0,805.22412498
"BART","MacArthur Richmond","BART",2015,"WEEKDAY",0,0,157.2886693165,0,0,0,0,181.389036746
"BART","MacArthur Rockridge","BART",2015,"WEEKDAY",0,0,72.591973618,0,0,0,0,82.352944064
"BART","MacArthur San Bruno","BART",2015,"WEEKDAY",0,0,27.178289486,0,0,0,0,38.330687666
"BART","MacArthur San Francisco Intl Airport","BART",2015,"WEEKDAY",0,0,105.016435106,0,0,0,0,122.375719722
"BART","MacArthur San Leandro","BART",2015,"WEEKDAY",0,0,120.93979682,0,0,0,0,137.646464328
"BART","MacArthur South Hayward","BART",2015,"WEEKDAY",0,0,59.8616917243333,0,0,0,0,64.830743537
"BART","MacArthur South San Francisco","BART",2015,"WEEKDAY",0,0,24.276568329,0,0,0,0,24.276568329
"BART","MacArthur Union City","BART",2015,"WEEKDAY",0,0,56.622019099,0,0,0,0,89.275122234
"BART","MacArthur Walnut Creek","BART",2015,"WEEKDAY",0,0,108.414661903667,0,0,0,0,131.409511864
"BART","MacArthur West Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,27.702696928,0,0,0,0,27.702696928
"BART","MacArthur West Oakland","BART",2015,"WEEKDAY",0,0,68.256872137,0,0,0,0,68.256872137
"BART","Millbrae 12th St. Oakland City Center","BART",2015,"WEEKDAY",0,0,142.664102265,0,0,0,0,160.300865648
"BART","Millbrae 16th St. Mission","BART",2015,"WEEKDAY",0,0,235.167980537667,0,0,0,0,287.319339209
