TAZ,COUNTY
942,Alameda
943,Alameda
944,Alameda
945,Alameda
946,Alameda
947,Alameda
948,Alameda
949,Alameda
950,Alameda
951,Alameda
952,Alameda
953,Alameda
954,Alameda
955,Alameda
956,Alameda
957,Alameda
958,Alameda
959,Alameda
960,Alameda
961,Alameda
962,Alameda
963,Alameda
964,Alameda
965,Alameda
966,Alameda
967,Alameda
968,Alameda
969,Alameda
970,Alameda
971,Alameda
972,Alameda
973,Alameda
974,Alameda
975,Alameda
976,Alameda
977,Alameda
978,Alameda
979,Alameda
980,Alameda
981,Alameda
982,Alameda
983,Alameda
984,Alameda
985,Alameda
986,Alameda
987,Alameda
988,Alameda
989,Alameda
990,Alameda
991,Alameda
992,Alameda
993,Alameda
994,Alameda
995,Alameda
996,Alameda
997,Alameda
998,Alameda
999,Alameda
1000,Alameda
1001,Alameda
1002,Alameda
1003,Alameda
1004,Alameda
1005,Alameda
1006,Alameda
1007,Alameda
1008,Alameda
1009,Alameda
1010,Alameda
1011,Alameda
1012,Alameda
1013,Alameda
1014,Alameda
1015,Alameda
1016,Alameda
1017,Alameda
1018,Alameda
1019,Alameda
1020,Alameda
1021,Alameda
1022,Alameda
1023,Alameda
1024,Alameda
1025,Alameda
1026,Alameda
1027,Alameda
1028,Alameda
1029,Alameda
1030,Alameda
1031,Alameda
1032,Alameda
1033,Alameda
1034,Alameda
1035,Alameda
1036,Alameda
1037,Alameda
1038,Alameda
1039,Alameda
1040,Contra Costa
1041,Contra Costa
1042,Contra Costa
1043,Contra Costa
1044,Contra Costa
1045,Contra Costa
1046,Contra Costa
1047,Contra Costa
1048,Contra Costa
1049,Contra Costa
1050,Contra Costa
1051,Contra Costa
1052,Contra Costa
1053,Contra Costa
1054,Contra Costa
1055,Contra Costa
1056,Contra Costa
1057,Contra Costa
1058,Contra Costa
1059,Contra Costa
1060,Contra Costa
1061,Contra Costa
1062,Contra Costa
1063,Contra Costa
1064,Contra Costa
1065,Contra Costa
1066,Contra Costa
1067,Contra Costa
1068,Contra Costa
1069,Contra Costa
1070,Contra Costa
1071,Contra Costa
1072,Contra Costa
1073,Contra Costa
1074,Contra Costa
1075,Contra Costa
1076,Contra Costa
1077,Contra Costa
1078,Contra Costa
1079,Contra Costa
1080,Contra Costa
1081,Contra Costa
1082,Contra Costa
1083,Contra Costa
1084,Contra Costa
1085,Contra Costa
1086,Contra Costa
1087,Contra Costa
1088,Contra Costa
1089,Contra Costa
1090,Contra Costa
1091,Contra Costa
1092,Contra Costa
1093,Contra Costa
1094,Contra Costa
1095,Contra Costa
1096,Contra Costa
1097,Contra Costa
1098,Contra Costa
1099,Contra Costa
1100,Contra Costa
1101,Contra Costa
1102,Contra Costa
1103,Contra Costa
1104,Contra Costa
1105,Contra Costa
1106,Contra Costa
1107,Contra Costa
1108,Contra Costa
1109,Contra Costa
1110,Contra Costa
1111,Contra Costa
1112,Contra Costa
1113,Contra Costa
1114,Contra Costa
1115,Contra Costa
1116,Contra Costa
1117,Contra Costa
1118,Contra Costa
1119,Contra Costa
1120,Contra Costa
1121,Contra Costa
1122,Contra Costa
1123,Contra Costa
1124,Contra Costa
1125,Contra Costa
1126,Contra Costa
1127,Contra Costa
1128,Contra Costa
1129,Contra Costa
1130,Contra Costa
1131,Contra Costa
1132,Contra Costa
1133,Contra Costa
1134,Contra Costa
1135,Contra Costa
1136,Contra Costa
1137,Contra Costa
1138,Contra Costa
1139,Contra Costa
1140,Contra Costa
1141,Contra Costa
1142,Contra Costa
1143,Contra Costa
1144,Contra Costa
1145,Contra Costa
1146,Contra Costa
1147,Contra Costa
1148,Contra Costa
1149,Contra Costa
1150,Contra Costa
1151,Contra Costa
1152,Contra Costa
1153,Contra Costa
1154,Contra Costa
1155,Contra Costa
1156,Contra Costa
1157,Contra Costa
1158,Contra Costa
1159,Contra Costa
1160,Contra Costa
1161,Contra Costa
1162,Contra Costa
1163,Contra Costa
1164,Contra Costa
1165,Contra Costa
1166,Contra Costa
1167,Contra Costa
1168,Contra Costa
1169,Contra Costa
1170,Contra Costa
1171,Contra Costa
1172,Contra Costa
1173,Contra Costa
1174,Contra Costa
1175,Contra Costa
1176,Contra Costa
1177,Contra Costa
1178,Contra Costa
1179,Contra Costa
1180,Contra Costa
1181,Contra Costa
1182,Contra Costa
1183,Contra Costa
1184,Contra Costa
1185,Contra Costa
1186,Contra Costa
1187,Contra Costa
1188,Contra Costa
1189,Contra Costa
1190,Contra Costa
1191,Contra Costa
1192,Contra Costa
1193,Contra Costa
1194,Contra Costa
1195,Contra Costa
1196,Contra Costa
1197,Contra Costa
1198,Contra Costa
1199,Contra Costa
1200,Contra Costa
1201,Contra Costa
1202,Contra Costa
1203,Contra Costa
1204,Contra Costa
1205,Contra Costa
1206,Contra Costa
1207,Contra Costa
1208,Contra Costa
1209,Contra Costa
1210,Contra Costa
1211,Solano
1212,Solano
1213,Solano
1214,Solano
1215,Solano
1216,Solano
1217,Solano
1218,Solano
1219,Solano
1220,Solano
1221,Solano
1222,Solano
1223,Solano
1224,Solano
1225,Solano
1226,Solano
1227,Solano
1228,Solano
1229,Solano
1230,Solano
1231,Solano
1232,Solano
1233,Solano
1234,Solano
1235,Solano
1236,Solano
1237,Solano
1238,Solano
1239,Solano
1240,Solano
1241,Solano
1242,Solano
1243,Solano
1244,Solano
1245,Solano
1246,Solano
1247,Solano
1248,Solano
1249,Solano
1250,Solano
1251,Solano
1252,Solano
1253,Solano
1254,Solano
1255,Solano
1256,Solano
1257,Solano
1258,Solano
1259,Solano
1260,Solano
1261,Solano
1262,Solano
1263,Solano
1264,Solano
1265,Solano
1266,Solano
1267,Solano
1268,Solano
1269,Solano
1270,Solano
1271,Solano
1272,Solano
1273,Solano
1274,Solano
1275,Solano
1276,Solano
1277,Solano
1278,Solano
1279,Solano
1280,Solano
1281,Solano
1282,Solano
1283,Solano
1284,Solano
1285,Solano
1286,Solano
1287,Solano
1288,Solano
1289,Solano
1290,Solano
1291,Napa
1292,Napa
1293,Napa
1294,Napa
1295,Napa
1296,Napa
1297,Napa
1298,Napa
1299,Napa
1300,Napa
1301,Napa
1302,Napa
1303,Napa
1304,Napa
1305,Napa
1306,Napa
1307,Napa
1308,Napa
1309,Napa
1310,Napa
1311,Napa
1312,Napa
1313,Napa
1314,Napa
1315,Napa
1316,Napa
1317,Napa
1318,Sonoma
1319,Sonoma
1320,Sonoma
1321,Sonoma
1322,Sonoma
1323,Sonoma
1324,Sonoma
1325,Sonoma
1326,Sonoma
1327,Sonoma
1328,Sonoma
1329,Sonoma
1330,Sonoma
1331,Sonoma
1332,Sonoma
1333,Sonoma
1334,Sonoma
1335,Sonoma
1336,Sonoma
1337,Sonoma
1338,Sonoma
1339,Sonoma
1340,Sonoma
1341,Sonoma
1342,Sonoma
1343,Sonoma
1344,Sonoma
1345,Sonoma
1346,Sonoma
1347,Sonoma
1348,Sonoma
1349,Sonoma
1350,Sonoma
1351,Sonoma
1352,Sonoma
1353,Sonoma
1354,Sonoma
1355,Sonoma
1356,Sonoma
1357,Sonoma
1358,Sonoma
1359,Sonoma
1360,Sonoma
1361,Sonoma
1362,Sonoma
1363,Sonoma
1364,Sonoma
1365,Sonoma
1366,Sonoma
1367,Sonoma
1368,Sonoma
1369,Sonoma
1370,Sonoma
1371,Sonoma
1372,Sonoma
1373,Sonoma
1374,Sonoma
1375,Sonoma
1376,Sonoma
1377,Sonoma
1378,Sonoma
1379,Sonoma
1380,Sonoma
1381,Sonoma
1382,Sonoma
1383,Sonoma
1384,Sonoma
1385,Sonoma
1386,Sonoma
1387,Sonoma
1388,Sonoma
1389,Sonoma
1390,Sonoma
1391,Sonoma
1392,Sonoma
1393,Sonoma
1394,Sonoma
1395,Sonoma
1396,Sonoma
1397,Sonoma
1398,Sonoma
1399,Sonoma
1400,Sonoma
1401,Sonoma
1402,Sonoma
1403,Sonoma
1404,Marin
1405,Marin
1406,Marin
1407,Marin
1408,Marin
1409,Marin
1410,Marin
1411,Marin
1412,Marin
1413,Marin
1414,Marin
1415,Marin
1416,Marin
1417,Marin
1418,Marin
1419,Marin
1420,Marin
1421,Marin
1422,Marin
1423,Marin
1424,Marin
1425,Marin
1426,Marin
1427,Marin
1428,Marin
1429,Marin
1430,Marin
1431,Marin
1432,Marin
1433,Marin
1434,Marin
1435,Marin
1436,Marin
1437,Marin
1438,Marin
1439,Marin
1440,Marin
1441,Marin
1442,Marin
1443,Marin
1444,Marin
1445,Marin
1446,Marin
1447,Marin
1448,Marin
1449,Marin
1450,Marin
1451,Marin
1452,Marin
1453,Marin
1454,Marin
