"survey","survey_year","survey_name","canonical_name","canonical_operator","technology"
"AC Transit",2018,"ROUTE 212 - Fremont BART-Newpark Mall-Pacific Commons [TO FREMONT BART]","AC TRANSIT___212 Fremont BART to NewPark Mall","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 54 - Fruitvale Bart/Merritt College [TO FRUITVALE BART]","AC TRANSIT___54 Fruitvale BART to Merritt College","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE BSD - BROADWAY SHUTTLE DAY [TO GRAND AVE]","AC TRANSIT___BSD BROADWAY SHUTTLE DAY","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE BSD - BROADWAY SHUTTLE DAY [TO JACK LONDON SQUARE]","AC TRANSIT___BSD BROADWAY SHUTTLE DAY","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 85 - San Leandro BART - Union Landing [TO UNION LANDING/SOUTH HAYWARD BART]","AC TRANSIT___85 San Leandro BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 85 - San Leandro BART - Union Landing [TO SAN LEANDRO BART/FOOTHILL SQUARE]","AC TRANSIT___85 San Leandro BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 86 - Hayward BART - S. Hayward BART [TO SOUTH HAYWARD BART/TO MACK ST ONLY]","AC TRANSIT___86 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 86 - Hayward BART - S. Hayward BART [TO HAYWARD BART]","AC TRANSIT___86 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 65 - Spruce St. - Euclid Ave. [TO LAWRENCE HALL OF SCIENCE/SENIOR LOOP]","AC TRANSIT___65 Berkeley BART to Lawrence Hall of Science","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 65 - Spruce St. - Euclid Ave. [TO BERKELEY BART]","AC TRANSIT___65 Berkeley BART to Lawrence Hall of Science","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 46 - Coliseum Bart/Knowland Zoo [TO COLISEUM BART]","AC TRANSIT___46 Coliseum BART to Oakland Zoo","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 60 - CSUEB /HAYWARD BART SHUTTLE [TO CSU EAST BAY]","AC TRANSIT___60 Hayward BART to Cal State East Bay","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 46 - Coliseum Bart/Knowland Zoo [TO MTN BLVD & GOLF LINKS RD/OAKLAND ZOO]","AC TRANSIT___46 Coliseum BART to Oakland Zoo","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 39 - Fruitvale Bart/Skyline High School [TO SKYLINE & BALMORAL]","AC TRANSIT___39 Fruitvale BART to Skyline High School","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE G - San Francisco - El Cerrito [TO SAN FRANCISCO]","AC TRANSIT___G Richmond St & Potrero St El Cerrito","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE J - Berkeley - San Francisco [TO SAN FRANCISCO]","AC TRANSIT___J Sacramento St and University Ave Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 37 - HWD. BART-WHITMAN-SO. HWD. BART [CLOCKWISE]","AC TRANSIT___37 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE FS - San Francisco - Berkeley [TO SAN FRANCISCO]","AC TRANSIT___FS Solano Ave Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 32 - Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland [CLOCKWISE]","AC TRANSIT___32 Hayward BART to Castro Valley BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE CB - San Francisco - Montclair [TO SAN FRANCISCO]","AC TRANSIT___CB Warren Freeway and Broadway Terr Oakland","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 32 - Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland [COUNTERCLOCKWISE]","AC TRANSIT___32 Hayward BART to Castro Valley BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE H - San Francisco - Richmond [TO SAN FRANCISCO]","AC TRANSIT___H Barrett Ave & San Pablo Ave El Cerrito","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE LA - San Francisco - El Sobrante [TO SAN FRANCISCO]","AC TRANSIT___LA Hilltop Dr Park & Ride","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 37 - HWD. BART-WHITMAN-SO. HWD. BART [COUNTERCLOCKWISE]","AC TRANSIT___37 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE E - San Francisco - Claremont -Parkwood [TO SAN FRANCISCO]","AC TRANSIT___E Caldecott Ln Oakland","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 81 - Claremont/Berkeley/Amtrak/Berk.Marina [TO BERKELEY MARINA]","AC TRANSIT___81 Claremont Berkeley Amtrak BerkMarina","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 83 - Hayward BART - S. Hayward BART [TO SOUTH HAYWARD BART]","AC TRANSIT___83 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 83 - Hayward BART - S. Hayward BART [TO HAYWARD BART]","AC TRANSIT___83 Hayward BART to South Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 80 - Claremont/El Cerrito Bart [TO CLAREMONT DISTRICT]","AC TRANSIT___80 Claremont El Cerrito Bart","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 75 - Bayfair Bart-Washington Manor-S. L. Bart [CLOCKWISE]","AC TRANSIT___75 San Leandro BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 48 - Bayfair BART- Castro Valley- Hayward bart [TO HAYWARD BART]","AC TRANSIT___48 Hayward BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 67 - Berkeley Bart - Grizzly Peak Blvd. [TO TILDEN PARK/GRIZZY PEAK]","AC TRANSIT___67 Berkeley BART to Grizzly Peak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 48 - Bayfair BART- Castro Valley- Hayward bart [TO BAY FAIR BART]","AC TRANSIT___48 Hayward BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 75 - Bayfair Bart-Washington Manor-S. L. Bart [COUNTERCLOCKWISE]","AC TRANSIT___75 San Leandro BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 81 - Claremont/Berkeley/Amtrak/Berk.Marina [TO CLAREMONT DISTRICT]","AC TRANSIT___81 Claremont Berkeley Amtrak BerkMarina","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 67 - Berkeley Bart - Grizzly Peak Blvd. [TO BERKELEY BART]","AC TRANSIT___67 Berkeley BART to Grizzly Peak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 79 - Rockridge/Berkeley/El Cerrito BART [TO ROCKRIDGE BART]","AC TRANSIT___79 Rockridge Berkeley El Cerrito BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 79 - Rockridge/Berkeley/El Cerrito BART [TO EL CERRITO PLAZA BART]","AC TRANSIT___79 Rockridge Berkeley El Cerrito BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 80 - Claremont/El Cerrito Bart [TO EL CERRITO PLAZA BART]","AC TRANSIT___80 Claremont El Cerrito Bart","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE H - San Francisco - Richmond [TO EL CERRITO]","AC TRANSIT___H Barrett Ave & San Pablo Ave El Cerrito","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE J - Berkeley - San Francisco [TO BERKELEY]","AC TRANSIT___J Sacramento St and University Ave Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE FS - San Francisco - Berkeley [TO NORTH BERKELEY]","AC TRANSIT___FS Solano Ave Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE CB - San Francisco - Montclair [TO BROADWAY TERRACE]","AC TRANSIT___CB Warren Freeway and Broadway Terr Oakland","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE NX4 - San Francisco/Castro Valley [TO SAN FRANCISCO]","AC TRANSIT___NX4 Castro Valley Park & Ride","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 93 - Hayward Bart-Bayfair Bart-San Lorenzo [COUNTERCLOCKWISE]","AC TRANSIT___93 Hayward BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE OX - San Francisco/Alameda/Bay Farm Is. [TO SAN FRANCISCO]","AC TRANSIT___OX San Francisco Alameda Bay Farm Is","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 93 - Hayward Bart-Bayfair Bart-San Lorenzo [CLOCKWISE]","AC TRANSIT___93 Hayward BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 95 - Kelly Hill - Hayward BART [TO KELLY HILL]","AC TRANSIT___95 Hayward BART to Fairview District","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 95 - Kelly Hill - Hayward BART [TO HAYWARD BART]","AC TRANSIT___95 Hayward BART to Fairview District","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 60 - CSUEB /HAYWARD BART SHUTTLE [TO HAYWARD BART]","AC TRANSIT___60 Hayward BART to Cal State East Bay","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE NX4 - San Francisco/Castro Valley [TO CASTRO VALLEY]","AC TRANSIT___NX4 Castro Valley Park & Ride","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE LA - San Francisco - El Sobrante [TO HILLTOP GREEN/HILLTOP P & R]","AC TRANSIT___LA Hilltop Dr Park & Ride","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE OX - San Francisco/Alameda/Bay Farm Is. [TO ALAMEDA]","AC TRANSIT___OX San Francisco Alameda Bay Farm Is","AC TRANSIT","express bus"
